start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,7080,,7084,116,
,6027,,7080,95,
,6063,,7084,182,
,6100,,6063,119,
,6063,,6095,344,
,6067,,6063,223,
,6063,,6047,411,
,6063,,7080,178,
,6100,,7084,202,
,6063,,6107,283,
,6100,,7084,337,
,6098,,6107,227,
,7080,,6098,331,
,6047,,7080,165,
,6063,,6047,496,
,6107,,6063,234,
,6063,,6107,219,
,6063,,7080,196,
,6047,,6063,267,
,6097,,6098,186,
,6063,,6095,382,
,6072,,6063,101,
,6047,,6107,545,
,6064,,6047,360,
,6047,,7080,162,
,6047,,7080,108,
,6062,,7080,346,
,6072,,6107,335,
,7080,,6062,231,
,6062,,6067,200,
,6064,,6062,118,
,6062,,7084,209,
,6064,,6062,71,
,6100,,6072,206,
,6062,,6097,479,
,6047,,6062,464,
,7084,,6401,692,
,6062,,7084,244,
,6062,,7080,256,
,6068,,6063,990,
,6063,,6047,347,
,6064,,6062,81,
,6062,,7084,195,
,6062,,6061,266,
,6062,,6107,330,
,6063,,6062,56,
,6047,,7080,144,
,6062,,6047,458,
,6107,,6062,193,
,7080,,6062,229,
,6047,,7080,123,
,6081,,6067,174,
,6070,,6083,376,
,6062,,6070,386,
,7084,,6062,212,
,6098,,6072,317,
,6063,,6062,101,
,6100,,7084,219,
,6062,,7084,221,
,7080,,6062,203,
,6062,,6067,230,
,6062,,6107,344,
,6066,,6062,347,
,6062,,6424,239,
,6067,,6062,190,
,6062,,6067,224,
,6733,,6062,184,
,6107,,7084,321,
,6062,,6107,374,
,7084,,6062,282,
,6062,,7084,197,
,6062,,7084,313,
,7080,,6062,299,
,6206,,6070,223,
,6047,,6206,106,
,6062,,6047,404,
,6072,,6062,153,
,6107,,7080,436,
,6062,,6107,293,
,6066,,6062,360,
,6079,,6066,297,
,6070,,7066,552,
,6062,,6047,483,
,7084,,6062,255,
,6062,,7084,241,
,6107,,6062,177,
,6062,,6107,341,
,6066,,6062,407,
,6100,,6062,140,
,6062,,6100,225,
,6047,,6062,405,
,6062,,6070,406,
,6064,,6062,107,
,6062,,7084,200,
,6107,,6062,161,
,6062,,6100,187,
,6100,,6062,170,
,6062,,6100,210,
,7080,,6062,282,
,6100,,6062,122,
,6062,,6100,156,
,6062,,6359,326,
,6061,,6062,286,
,7069,,6062,344,
,6062,,7067,453,
,6107,,6062,241,
,6062,,6100,219,
,6070,,6062,387,
,7084,,6062,274,
,6062,,7084,176,
,6408,,6062,453,
,6062,,6408,340,
,6070,,6062,465,
,6062,,7080,285,
,6107,,6062,216,
,6062,,6107,313,
,6062,,6070,569,
,6095,,6062,410,
,6068,,7081,531,
,6047,,7080,129,
,6062,,6047,492,
,6062,,6072,165,
,7080,,6062,313,
,6070,,6203,136,
,6062,,6047,478,
,7080,,6062,380,
,6064,,6047,325,
,6047,,7069,282,
,6208,,6062,646,
,6062,,6047,425,
,6063,,6062,1466,
,6062,,7084,303,
,7080,,6062,287,
,6062,,6067,245,
,7084,,6063,221,
,6062,,7084,270,
,6047,,6062,458,
,6062,,6067,246,
,6062,,7084,286,
