# start, end, duration
6.206000000000000000e+03,6.070000000000000000e+03,2.230000000000000000e+02
6.047000000000000000e+03,6.206000000000000000e+03,1.060000000000000000e+02
6.079000000000000000e+03,6.066000000000000000e+03,2.970000000000000000e+02
6.070000000000000000e+03,7.066000000000000000e+03,5.520000000000000000e+02
6.070000000000000000e+03,6.203000000000000000e+03,1.360000000000000000e+02
6.047000000000000000e+03,7.069000000000000000e+03,2.820000000000000000e+02
6.032000000000000000e+03,6.204000000000000000e+03,2.532000000000000000e+03
6.066000000000000000e+03,6.047000000000000000e+03,1.580000000000000000e+02
7.066000000000000000e+03,6.203000000000000000e+03,4.620000000000000000e+02
6.047000000000000000e+03,6.047000000000000000e+03,1.049000000000000000e+03
