# start, end, duration
6.047000000000000000e+03,6.013000000000000000e+03,6.120000000000000000e+02
6.204000000000000000e+03,6.020000000000000000e+03,9.010000000000000000e+02
6.211000000000000000e+03,6.143000000000000000e+03,5.420000000000000000e+02
6.216000000000000000e+03,7.038000000000000000e+03,3.510000000000000000e+02
7.032000000000000000e+03,6.176000000000000000e+03,4.400000000000000000e+02
6.903000000000000000e+03,6.073000000000000000e+03,6.530000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,6.670000000000000000e+02
6.216000000000000000e+03,6.193000000000000000e+03,4.550000000000000000e+02
6.047000000000000000e+03,7.069000000000000000e+03,2.170000000000000000e+02
6.193000000000000000e+03,6.070000000000000000e+03,9.820000000000000000e+02
6.216000000000000000e+03,6.248000000000000000e+03,1.800000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,2.530000000000000000e+02
6.047000000000000000e+03,6.073000000000000000e+03,3.620000000000000000e+02
6.217000000000000000e+03,6.214000000000000000e+03,7.560000000000000000e+02
6.047000000000000000e+03,6.248000000000000000e+03,8.520000000000000000e+02
6.047000000000000000e+03,7.069000000000000000e+03,2.110000000000000000e+02
6.070000000000000000e+03,6.209000000000000000e+03,6.560000000000000000e+02
