start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,6213,,6065,670,
,6070,,6213,503,
,6100,,7080,351,
,6432,,6100,527,
,6065,,6432,545,
,6344,,6065,1628,
,6344,,6344,399,
,6205,,6065,627,
,6070,,6213,473,
,6205,,6065,445,
,6070,,6205,147,
,6070,,6081,362,
,6068,,6100,259,
,6070,,6213,449,
,6214,,6183,549,
,6065,,6214,1055,
,7084,,6436,952,
,6065,,7084,188,
,6065,,6065,26,
,6099,,6072,139,
,6064,,6100,148,
,6170,,6065,1341,
,6065,,6186,1194,
,6027,,6100,177,
,6068,,6068,18,
,7084,,6065,218,
,6070,,6100,468,
,6186,,6214,665,
,6178,,6186,399,
,6170,,6178,339,
,6708,,6099,602,
,6065,,6034,595,
,6174,,6065,952,
,6070,,6174,425,
,6206,,6065,431,
,6174,,6206,515,
,6070,,6174,627,
,6315,,6070,1572,
,6186,,6065,1345,
,6065,,6186,1308,
,7079,,6067,703,
,6070,,6052,1332,
,6213,,7084,558,
,6411,,6213,373,
,6068,,6100,232,
,6212,,6070,268,
,6216,,6212,94,
,6170,,6099,1536,
,6206,,6099,783,
,6081,,6205,406,
,6432,,6100,442,
,6099,,6432,421,
,6205,,6070,139,
,6068,,6100,273,
,6186,,6136,92,
,6099,,6186,1458,
,6170,,6070,1266,
,7019,,6165,503,
,6070,,7019,957,
,6081,,6070,421,
,6099,,6081,462,
,6099,,6206,454,
,6068,,6099,206,
,6070,,6205,128,
,6170,,6099,1327,
,6206,,6170,900,
,6063,,6206,489,
,6095,,6099,382,
,6100,,6095,185,
,6070,,6099,343,
,6178,,6099,950,
,6099,,6178,1343,
,6078,,6099,399,
,6099,,6359,776,
,7036,,6099,1157,
,6070,,6227,908,
,6099,,6068,247,
,6411,,6070,269,
,6068,,6100,235,
,7084,,6099,163,
,6075,,6099,409,
,6100,,6205,609,
,6099,,6070,538,
,6070,,6099,377,
,6070,,6100,344,
,7019,,6070,980,
,6060,,7019,1363,
,6170,,6099,1257,
,6205,,6170,1380,
,6070,,6205,118,
,6186,,6344,816,
,7036,,6186,383,
,6212,,7036,866,
,6743,,6212,745,
,6212,,7071,1010,
,6068,,6100,246,
,6205,,6099,416,
,6070,,6205,211,
,6100,,7084,351,
,6058,,7084,218,
,6411,,6099,631,
,6070,,6411,320,
,7033,,6099,388,
,6070,,6047,159,
,6205,,6070,97,
,6070,,6205,114,
,6205,,6099,422,
,6070,,6205,132,
,6058,,6359,726,
,6064,,6100,129,
,6068,,6099,207,
,7084,,6099,194,
,7084,,6099,183,
,6099,,7084,169,
,6070,,6205,138,
,7080,,6194,653,
,6070,,6070,1203,
,6213,,6099,750,
,6060,,6213,637,
,6205,,6065,412,
,6070,,6099,333,
,6070,,6411,481,
,6065,,6180,692,
,6070,,6100,415,
,6065,,6068,163,
,6205,,6070,142,
,7080,,6205,161,
,6065,,7080,349,
,6213,,6065,551,
,6065,,6213,783,
,6205,,6065,416,
,6070,,6205,134,
,7038,,6070,344,
,6065,,6007,794,
,6068,,6065,116,
,6065,,7080,425,
,7038,,6065,630,
,6359,,6213,777,
,6036,,6180,1055,
,6065,,6213,840,
,7080,,6100,325,
,6065,,6068,232,
,6070,,6213,837,
,6205,,6065,521,
,6070,,6205,137,
,6065,,6068,176,
,6067,,6099,303,
,6065,,6068,233,
,6432,,6099,472,
,6065,,6432,561,
,6067,,6099,1436,
,6065,,6068,173,
,6205,,6065,419,
,6070,,6205,130,
,6081,,6070,372,
,6065,,6081,720,
,6205,,6065,439,
,6070,,6205,337,
,6065,,6068,118,
,6065,,6205,349,
,6424,,6065,137,
,7080,,6424,66,
,6194,,6070,705,
,6070,,6432,754,
,6065,,7080,226,
,6068,,6100,278,
,6081,,6070,342,
,6068,,6081,297,
,6099,,6100,58,
,7084,,6065,168,
,6068,,6100,312,
,6065,,6067,300,
,6068,,6100,335,
,6065,,6068,216,
,6204,,6205,61,
,6100,,6070,490,
,6068,,6100,252,
,6065,,6068,194,
,6065,,7084,132,
,6021,,6099,730,
,6205,,6021,224,
,6070,,6205,132,
,6065,,6070,255,
,6176,,6070,863,
,6070,,6099,1116,
,6070,,6070,2129,
,6206,,6064,395,
,6065,,6206,561,
,6047,,6100,394,
,6065,,7084,112,
,7084,,6065,144,
,6070,,6081,321,
,6065,,6095,407,
,6070,,6065,311,
,6065,,7084,148,
,6070,,6100,714,
,6065,,6068,239,
,6903,,6065,793,
,6207,,6213,228,
,6065,,7033,404,
,6065,,6206,415,
,6411,,6027,448,
,6070,,6213,485,
,6075,,7069,319,
,6065,,7080,241,
,6432,,6099,503,
,6065,,6432,452,
,6068,,6100,311,
,6194,,6065,399,
,6065,,6432,482,
,6411,,6065,572,
,6065,,6213,597,
,6208,,6065,421,
,6070,,6216,602,
,6070,,6100,434,
,6021,,6065,521,
,6205,,6021,331,
,6070,,6205,143,
,6178,,6065,997,
,6070,,6176,800,
,6070,,6205,137,
,6100,,6070,369,
,7033,,6065,335,
,6733,,6194,897,
,6065,,6067,263,
,6176,,6065,955,
,6065,,6176,1107,
,6216,,6065,723,
,6065,,6217,1651,
,6194,,6095,199,
,7080,,6099,252,
,6224,,6070,893,
,7084,,6065,99,
,6065,,6205,335,
,6100,,6100,11,
,6065,,6100,125,
,6219,,6070,734,
,6070,,6219,571,
,7084,,6065,154,
,6065,,6068,167,
,7080,,6065,223,
,6065,,6067,273,
,6070,,6205,136,
,6065,,7084,173,
,6221,,6021,511,
,6070,,6206,177,
,6070,,6070,17,
,6065,,6070,273,
,6224,,6070,545,
,6181,,7036,654,
,7033,,6221,606,
,6065,,6424,210,
,6021,,6065,463,
,6221,,6021,492,
,6070,,6213,756,
,6065,,7084,110,
,6205,,6065,543,
,6070,,6205,123,
,6065,,7080,207,
,6070,,6065,208,
,6065,,6424,202,
,6221,,6070,575,
,6099,,6068,267,
,6067,,6099,260,
,6015,,6067,569,
,6396,,6015,2310,
,6070,,6398,2365,
,7084,,6065,127,
,6065,,7084,143,
,6065,,6181,789,
,6070,,6100,501,
,6065,,6067,192,
,6070,,6065,273,
,6307,,6065,1108,
,6221,,6307,464,
,6065,,6221,1297,
,7033,,7084,228,
,6058,,6070,397,
,6903,,6065,1253,
,6065,,6067,269,
,6065,,7080,217,
,6026,,6065,1036,
,7084,,6026,828,
,6065,,6070,242,
,6205,,6065,365,
,6205,,6205,601,
,6021,,6205,256,
,6205,,6021,558,
,6065,,6205,351,
,7033,,6065,274,
,6203,,6065,238,
,6065,,6039,654,
