# start, end, duration
6.070000000000000000e+03,6.213000000000000000e+03,5.030000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,4.730000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.470000000000000000e+02
6.070000000000000000e+03,6.081000000000000000e+03,3.620000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,4.490000000000000000e+02
6.214000000000000000e+03,6.183000000000000000e+03,5.490000000000000000e+02
6.186000000000000000e+03,6.214000000000000000e+03,6.650000000000000000e+02
6.178000000000000000e+03,6.186000000000000000e+03,3.990000000000000000e+02
6.170000000000000000e+03,6.178000000000000000e+03,3.390000000000000000e+02
6.070000000000000000e+03,6.174000000000000000e+03,4.250000000000000000e+02
6.174000000000000000e+03,6.206000000000000000e+03,5.150000000000000000e+02
6.070000000000000000e+03,6.174000000000000000e+03,6.270000000000000000e+02
6.411000000000000000e+03,6.213000000000000000e+03,3.730000000000000000e+02
6.212000000000000000e+03,6.070000000000000000e+03,2.680000000000000000e+02
6.216000000000000000e+03,6.212000000000000000e+03,9.400000000000000000e+01
6.081000000000000000e+03,6.205000000000000000e+03,4.060000000000000000e+02
6.205000000000000000e+03,6.070000000000000000e+03,1.390000000000000000e+02
6.186000000000000000e+03,6.136000000000000000e+03,9.200000000000000000e+01
6.170000000000000000e+03,6.070000000000000000e+03,1.266000000000000000e+03
7.019000000000000000e+03,6.165000000000000000e+03,5.030000000000000000e+02
6.070000000000000000e+03,7.019000000000000000e+03,9.570000000000000000e+02
6.081000000000000000e+03,6.070000000000000000e+03,4.210000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.280000000000000000e+02
6.206000000000000000e+03,6.170000000000000000e+03,9.000000000000000000e+02
6.070000000000000000e+03,6.227000000000000000e+03,9.080000000000000000e+02
6.411000000000000000e+03,6.070000000000000000e+03,2.690000000000000000e+02
7.019000000000000000e+03,6.070000000000000000e+03,9.800000000000000000e+02
6.205000000000000000e+03,6.170000000000000000e+03,1.380000000000000000e+03
6.070000000000000000e+03,6.205000000000000000e+03,1.180000000000000000e+02
7.036000000000000000e+03,6.186000000000000000e+03,3.830000000000000000e+02
6.212000000000000000e+03,7.036000000000000000e+03,8.660000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,2.110000000000000000e+02
6.070000000000000000e+03,6.411000000000000000e+03,3.200000000000000000e+02
6.070000000000000000e+03,6.047000000000000000e+03,1.590000000000000000e+02
6.205000000000000000e+03,6.070000000000000000e+03,9.700000000000000000e+01
6.070000000000000000e+03,6.205000000000000000e+03,1.140000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.320000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.380000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,1.203000000000000000e+03
6.070000000000000000e+03,6.411000000000000000e+03,4.810000000000000000e+02
6.205000000000000000e+03,6.070000000000000000e+03,1.420000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.340000000000000000e+02
7.038000000000000000e+03,6.070000000000000000e+03,3.440000000000000000e+02
6.359000000000000000e+03,6.213000000000000000e+03,7.770000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,8.370000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.370000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.300000000000000000e+02
6.081000000000000000e+03,6.070000000000000000e+03,3.720000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,3.370000000000000000e+02
6.081000000000000000e+03,6.070000000000000000e+03,3.420000000000000000e+02
6.204000000000000000e+03,6.205000000000000000e+03,6.100000000000000000e+01
6.205000000000000000e+03,6.021000000000000000e+03,2.240000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.320000000000000000e+02
6.176000000000000000e+03,6.070000000000000000e+03,8.630000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,2.129000000000000000e+03
6.070000000000000000e+03,6.081000000000000000e+03,3.210000000000000000e+02
6.207000000000000000e+03,6.213000000000000000e+03,2.280000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,4.850000000000000000e+02
6.075000000000000000e+03,7.069000000000000000e+03,3.190000000000000000e+02
6.070000000000000000e+03,6.216000000000000000e+03,6.020000000000000000e+02
6.205000000000000000e+03,6.021000000000000000e+03,3.310000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.430000000000000000e+02
6.070000000000000000e+03,6.176000000000000000e+03,8.000000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.370000000000000000e+02
6.224000000000000000e+03,6.070000000000000000e+03,8.930000000000000000e+02
6.219000000000000000e+03,6.070000000000000000e+03,7.340000000000000000e+02
6.070000000000000000e+03,6.219000000000000000e+03,5.710000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.360000000000000000e+02
6.221000000000000000e+03,6.021000000000000000e+03,5.110000000000000000e+02
6.070000000000000000e+03,6.206000000000000000e+03,1.770000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,1.700000000000000000e+01
