start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,6047,,6344,1019,
,6344,,6047,1077,
,6206,,6158,1247,
,6047,,6206,108,
,6344,,7084,2157,
,7033,,6344,966,
,6186,,6047,667,
,6213,,6186,640,
,6157,,6211,596,
,6186,,6066,1078,
,6070,,6186,1266,
,6344,,6066,1492,
,6170,,6344,912,
,6066,,6186,1114,
,6344,,6066,1445,
,6186,,6344,807,
,6906,,6186,253,
,6186,,6906,314,
,6906,,6186,244,
,6136,,6912,652,
,6217,,6186,355,
,6037,,6217,1754,
,6021,,6037,752,
,6170,,6214,952,
,6906,,6170,261,
,6170,,6906,484,
,6211,,6186,640,
,6213,,7083,326,
,7083,,6213,220,
,6070,,6411,313,
,7084,,7084,4,
,6062,,7084,209,
,6186,,6927,783,
,6047,,6186,868,
,6344,,6047,993,
,6213,,6344,934,
,6047,,6213,457,
,6344,,6047,1048,
,6062,,7080,256,
,6047,,7083,304,
,6344,,6047,773,
,6752,,6344,442,
,6186,,6503,1073,
,6047,,6170,806,
,7083,,6047,431,
,6344,,6217,675,
,6099,,6250,2438,
,6170,,6099,1162,
,6047,,6186,676,
,6186,,6047,645,
,6907,,6170,203,
,6170,,6906,305,
,7014,,6170,957,
,7014,,6047,933,
,6344,,7014,1358,
,7014,,6344,881,
,6047,,6316,990,
,6344,,6047,894,
,6208,,6344,660,
,6047,,6208,100,
,6178,,6170,473,
,6344,,6186,686,
,6186,,6344,998,
,6066,,6186,908,
,6186,,6066,1176,
,6733,,6186,1495,
,6070,,6027,253,
,6344,,6047,1024,
,6170,,6344,740,
,6213,,6186,409,
,6047,,6213,256,
,6186,,6047,820,
,6170,,6344,888,
,6213,,6186,588,
,6411,,6213,385,
,6186,,6066,963,
,6061,,6186,1301,
,6186,,6061,1064,
,6066,,6186,971,
,6186,,6066,1140,
,6184,,6186,299,
,6213,,6178,297,
,6066,,6213,425,
,6186,,6066,1064,
,6344,,6186,673,
,6321,,6344,152,
,6170,,6344,1022,
,6747,,6344,501,
,6231,,6047,210,
,7028,,6230,186,
,6906,,7028,700,
,6251,,6168,582,
,6321,,6344,94,
,6223,,6250,921,
,6411,,6223,363,
,6047,,6411,166,
,6205,,6047,129,
,6344,,6205,845,
,6906,,6250,587,
,6344,,6906,999,
,6213,,6344,834,
,7033,,6213,312,
,6425,,6047,1350,
,6047,,6425,1135,
,6344,,6047,910,
,6214,,6344,1827,
,7033,,7083,658,
,6040,,7084,329,
,6186,,6047,908,
,6099,,6186,1231,
,6170,,6099,1600,
,6213,,6170,422,
,6047,,6213,266,
,6170,,6075,777,
,6047,,7032,1088,
,6170,,6047,1037,
,6059,,6186,1280,
,6061,,6708,498,
,6170,,6173,635,
,6079,,6186,890,
,6070,,6070,21,
,6046,,6060,547,
,6060,,6046,504,
,6186,,6066,1064,
,6344,,6186,764,
,6209,,6344,1363,
,6186,,6066,1064,
,6204,,6186,980,
,6186,,6066,1115,
,6170,,6157,310,
,6204,,7032,741,
,6070,,6070,23,
,6186,,6066,887,
,6063,,6186,1122,
,7084,,7071,400,
,6186,,6066,996,
,6157,,6170,254,
,6170,,6157,738,
,6070,,6393,1761,
,6186,,6066,1083,
,6143,,6170,539,
,6170,,6176,302,
,6307,,6186,955,
,6186,,6248,436,
,6098,,6186,1410,
,6186,,7071,1616,
,6208,,6186,804,
,6186,,6075,929,
,6170,,6344,929,
,6136,,6178,488,
,6193,,6186,386,
,6186,,6231,603,
,7066,,6186,1331,
,7080,,7066,452,
,6186,,6066,1006,
,6070,,6186,956,
,6170,,6070,1140,
,6066,,6186,897,
,6186,,6075,793,
,6214,,6170,992,
,6170,,6214,656,
,6170,,6730,1144,
,6070,,6170,1427,
,6170,,6075,1057,
,6253,,6170,650,
,6170,,6344,789,
,6344,,6170,618,
,6213,,6321,841,
,6047,,6903,222,
,6047,,6204,120,
,6344,,6047,1109,
,6271,,6344,372,
,6170,,6344,711,
,6434,,6170,2123,
,6064,,6418,815,
,6067,,6064,184,
,6344,,6067,1600,
,6217,,6344,975,
,6281,,6217,378,
,6334,,6170,1180,
,6170,,6334,1386,
,6213,,6170,797,
,6047,,6066,155,
,6344,,6047,864,
,6170,,6344,727,
,6170,,6170,17,
,7067,,6170,1831,
,6344,,7033,947,
,6213,,6344,641,
,7033,,6213,195,
,6091,,6070,794,
,7084,,6091,572,
,6344,,6047,1090,
,6223,,6344,733,
,7042,,6216,791,
,6047,,6344,874,
,6170,,6047,889,
,6248,,6170,2621,
,6170,,6248,723,
,6047,,6170,981,
,7083,,6047,287,
,6170,,6214,666,
,6344,,6170,758,
,6106,,6021,544,
,6411,,6106,510,
,6217,,6193,367,
,6170,,6214,617,
,6344,,6170,762,
