# start, end, duration
6.206000000000000000e+03,6.158000000000000000e+03,1.247000000000000000e+03
6.047000000000000000e+03,6.206000000000000000e+03,1.080000000000000000e+02
6.186000000000000000e+03,6.047000000000000000e+03,6.670000000000000000e+02
6.213000000000000000e+03,6.186000000000000000e+03,6.400000000000000000e+02
6.157000000000000000e+03,6.211000000000000000e+03,5.960000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.078000000000000000e+03
6.070000000000000000e+03,6.186000000000000000e+03,1.266000000000000000e+03
6.066000000000000000e+03,6.186000000000000000e+03,1.114000000000000000e+03
6.906000000000000000e+03,6.186000000000000000e+03,2.530000000000000000e+02
6.186000000000000000e+03,6.906000000000000000e+03,3.140000000000000000e+02
6.906000000000000000e+03,6.186000000000000000e+03,2.440000000000000000e+02
6.136000000000000000e+03,6.912000000000000000e+03,6.520000000000000000e+02
6.217000000000000000e+03,6.186000000000000000e+03,3.550000000000000000e+02
6.170000000000000000e+03,6.214000000000000000e+03,9.520000000000000000e+02
6.906000000000000000e+03,6.170000000000000000e+03,2.610000000000000000e+02
6.170000000000000000e+03,6.906000000000000000e+03,4.840000000000000000e+02
6.211000000000000000e+03,6.186000000000000000e+03,6.400000000000000000e+02
6.213000000000000000e+03,7.083000000000000000e+03,3.260000000000000000e+02
7.083000000000000000e+03,6.213000000000000000e+03,2.200000000000000000e+02
6.070000000000000000e+03,6.411000000000000000e+03,3.130000000000000000e+02
6.047000000000000000e+03,6.186000000000000000e+03,8.680000000000000000e+02
6.047000000000000000e+03,6.213000000000000000e+03,4.570000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,3.040000000000000000e+02
6.047000000000000000e+03,6.170000000000000000e+03,8.060000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,4.310000000000000000e+02
6.047000000000000000e+03,6.186000000000000000e+03,6.760000000000000000e+02
6.186000000000000000e+03,6.047000000000000000e+03,6.450000000000000000e+02
6.907000000000000000e+03,6.170000000000000000e+03,2.030000000000000000e+02
6.170000000000000000e+03,6.906000000000000000e+03,3.050000000000000000e+02
6.047000000000000000e+03,6.208000000000000000e+03,1.000000000000000000e+02
6.178000000000000000e+03,6.170000000000000000e+03,4.730000000000000000e+02
6.066000000000000000e+03,6.186000000000000000e+03,9.080000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.176000000000000000e+03
6.213000000000000000e+03,6.186000000000000000e+03,4.090000000000000000e+02
6.047000000000000000e+03,6.213000000000000000e+03,2.560000000000000000e+02
6.186000000000000000e+03,6.047000000000000000e+03,8.200000000000000000e+02
6.213000000000000000e+03,6.186000000000000000e+03,5.880000000000000000e+02
6.411000000000000000e+03,6.213000000000000000e+03,3.850000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,9.630000000000000000e+02
6.066000000000000000e+03,6.186000000000000000e+03,9.710000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.140000000000000000e+03
6.184000000000000000e+03,6.186000000000000000e+03,2.990000000000000000e+02
6.213000000000000000e+03,6.178000000000000000e+03,2.970000000000000000e+02
6.066000000000000000e+03,6.213000000000000000e+03,4.250000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.064000000000000000e+03
6.231000000000000000e+03,6.047000000000000000e+03,2.100000000000000000e+02
7.028000000000000000e+03,6.230000000000000000e+03,1.860000000000000000e+02
6.906000000000000000e+03,7.028000000000000000e+03,7.000000000000000000e+02
6.411000000000000000e+03,6.223000000000000000e+03,3.630000000000000000e+02
6.047000000000000000e+03,6.411000000000000000e+03,1.660000000000000000e+02
6.205000000000000000e+03,6.047000000000000000e+03,1.290000000000000000e+02
7.033000000000000000e+03,6.213000000000000000e+03,3.120000000000000000e+02
7.033000000000000000e+03,7.083000000000000000e+03,6.580000000000000000e+02
6.186000000000000000e+03,6.047000000000000000e+03,9.080000000000000000e+02
6.213000000000000000e+03,6.170000000000000000e+03,4.220000000000000000e+02
6.047000000000000000e+03,6.213000000000000000e+03,2.660000000000000000e+02
6.170000000000000000e+03,6.075000000000000000e+03,7.770000000000000000e+02
6.047000000000000000e+03,7.032000000000000000e+03,1.088000000000000000e+03
6.170000000000000000e+03,6.047000000000000000e+03,1.037000000000000000e+03
6.170000000000000000e+03,6.173000000000000000e+03,6.350000000000000000e+02
6.079000000000000000e+03,6.186000000000000000e+03,8.900000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,2.100000000000000000e+01
6.186000000000000000e+03,6.066000000000000000e+03,1.064000000000000000e+03
6.186000000000000000e+03,6.066000000000000000e+03,1.064000000000000000e+03
6.204000000000000000e+03,6.186000000000000000e+03,9.800000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.115000000000000000e+03
6.170000000000000000e+03,6.157000000000000000e+03,3.100000000000000000e+02
6.204000000000000000e+03,7.032000000000000000e+03,7.410000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,2.300000000000000000e+01
6.186000000000000000e+03,6.066000000000000000e+03,8.870000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,9.960000000000000000e+02
6.157000000000000000e+03,6.170000000000000000e+03,2.540000000000000000e+02
6.170000000000000000e+03,6.157000000000000000e+03,7.380000000000000000e+02
6.186000000000000000e+03,6.066000000000000000e+03,1.083000000000000000e+03
6.143000000000000000e+03,6.170000000000000000e+03,5.390000000000000000e+02
6.170000000000000000e+03,6.176000000000000000e+03,3.020000000000000000e+02
6.307000000000000000e+03,6.186000000000000000e+03,9.550000000000000000e+02
6.186000000000000000e+03,6.248000000000000000e+03,4.360000000000000000e+02
6.208000000000000000e+03,6.186000000000000000e+03,8.040000000000000000e+02
6.186000000000000000e+03,6.075000000000000000e+03,9.290000000000000000e+02
